StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q14_4_TEXT,SATISFIED,INFOR,TECH,AGREE_1,AGREE_2,AGREE_3,AGREE_4,AGREE_5,AGREE_6,Q12,Q13,Q14,Q17,TOPICS,Q11,Q15_1,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q16_1,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17
2020-06-14 08:53:01,2020-06-14 08:58:31,IP Address,76.114.97.3,100,330,True,2020-06-14 08:58:31,R_2X6VbU30QjkqQwM,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I would love another workshop that focuses on SEL lesson plans for my grade level (or grade band). ","1. That my feelings are valid. That other teachers are feeling the exact same, no matter their grade level, education level, or experience level. 
2. I made a list of ideas that I want to implement in my classroom. This PD inspired me. ","My ""morning work"" will center around SEL. I will check in with my students more this Fall. ",Is there more PD workshops about SEL?,"SEL, continued to trauma, inclusion and SEL, ","Thank you! This has been the most informative and interesting PD that I have taken in a while. ","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,4,,,,,,,,,,
2020-06-14 11:06:23,2020-06-14 11:18:06,IP Address,65.189.9.77,100,703,True,2020-06-14 11:18:06,R_22LAuLNj8FLpMUx,,,,,40.0413970947265625,-84.202301025390625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"None - small group working on individual lessons with feedback. ",SEL Practices - Strategies to try,Focusing on SEL practices when planning,None,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,7,8,,,,,,
2020-06-14 15:42:29,2020-06-14 15:47:15,IP Address,76.18.169.218,100,286,True,2020-06-14 15:47:16,R_3fr8RctDYRDZKoG,,,,,36.50140380859375,-86.87380218505859375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"The most valuable piece of information that has stuck with me is:
 Not all stressors are the same for every person. 
 There is not one recipe for the return,  it is a mixture of strategies that will be needed.
","I intend to see each seed student's stressors as they are and use ideas from the PD to assist me with the student. ",,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-14 18:03:23,2020-06-14 18:05:38,IP Address,108.232.3.36,100,135,True,2020-06-14 18:05:39,R_33BJ5PNJ9pOD0RD,,,,,36.2646026611328125,-86.70200347900390625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,How to cope with personal and work traumas,,,,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,,,PreK/K,1,2,3,4,,,,,,,,,,
2020-06-14 18:22:31,2020-06-14 18:30:29,IP Address,75.138.229.86,100,478,True,2020-06-14 18:30:30,R_2xDdXA0mUnvdOTL,,,,,35.7162933349609375,-86.9093017578125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would have loved to spend more time in breakout groups(if a zoom meeting would be the setting).,I really enjoyed hearing from different areas around the state about challenges they face due to student experience. Hearing some of the comments and stories helped connect my experiences to our discussions.,"Helping myself as well as other teachers understand the effects of trauma on students....that they aren't all the same, have different effects, & at some point everyone experiences trauma.","I still struggle with helping students through the covid crisis that we are in. We discussed this a little, but without having our students at school(where this may be their safe place), I feel somewhat helpless for some of them.","whole brain learning, helping students balance screen time(often too much when school offers work this way & this is also how they like to ""break""), secure networks, etc",I enjoyed this workshop! I'd love to be included in other opportunities offered by  these speakers!,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-15 01:00:46,2020-06-15 01:03:18,IP Address,98.211.21.161,100,152,True,2020-06-15 01:03:18,R_2w1ciMcaVxcd9XQ,,,,,35.8450927734375,-86.4900970458984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,The reason student behave that way they do is often trauma related.,Huge changes. My eyes have been opened.,,,The presenters were fantastic! And the break away groups were awesome.,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,11,12,,
2020-06-15 08:12:45,2020-06-15 08:19:23,IP Address,66.128.255.21,100,398,True,2020-06-15 08:19:23,R_3G2s4TRBT6d2H5x,,,,,35.6360015869140625,-86.6840972900390625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,Most of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,None at this time.,I believe that making those connections and relationships meaningful in a student's time with me is an important part in helping to create a positive culture for the school.,I am hoping that I can take the ideas and suggestions to create positive relationships with students for them to learn in a safe place.,None at this time.,None at this time- too overwhelmed right now!,"No, thank you for asking.","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,7,,,,,,,
2020-06-15 08:39:29,2020-06-15 08:40:42,IP Address,96.4.42.143,100,72,True,2020-06-15 08:40:43,R_27Btcc2SogujKlt,,,,,35.6172943115234375,-87.03170013427734375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,Other,Counselor,,,,,,5,6,7,8,,,,,,
2020-06-15 09:07:07,2020-06-15 09:24:48,IP Address,70.241.127.235,100,1061,True,2020-06-15 09:24:49,R_2w4QIPVv91rMDoo,,,,,35.93060302734375,-86.8787994384765625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The time allocated for devising a lesson was a little short but all in all it was enough time to attain the purpose of the activity. If we had more time we would have taken more time and sometimes a time frame is needed to get the job done. ",The fact that we are faced with the affects of this pandemic and it is something that we are going to have to deal with for a while.,"Just being aware of the trauma that students may be experiencing and having some guidelines, strategies and activities will help me with professional practices.",,More information and strategies to use in dealing with the various traumas.,Great job!,,,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",School-based administrator,,Other,retired principal serving as parttime assistant principal.,PreK/K,1,2,3,4,,,,,,,,,,
2020-06-15 09:35:21,2020-06-15 09:40:04,IP Address,68.52.229.183,100,283,True,2020-06-15 09:40:04,R_3dYsHN7vP3EoeHa,,,,,36.0594940185546875,-86.65920257568359375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,"More time when we have break out sessions, and possibly a timer in the window","Engaging students using SEL and curriculum simultaneously  ",Utilizing some of the resources I have learned about when lesson planning,,Any more STEM/ STEAM workshops,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,8,,,,,,
2020-06-15 09:57:24,2020-06-15 10:03:59,IP Address,136.58.102.172,100,394,True,2020-06-15 10:03:59,R_1mUFmseuf1pWz1O,,,,,36.15789794921875,-86.86080169677734375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,"Maybe discuss more strategies to use to help students in need. We discussed some but if I have to choose something. ",How certain things can impact our students that we would not think about and they might be acting out because of something bothering them.,"I will continue to build good relationships with my students and really try to figure out how they feel and what might be bothering them. ","I do not have any questions at this time. ","Maybe something about remote learning strategies if thats going to become the new normal. ",not at this time. Thanks!,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,1,,,,,,,,,,,,,
2020-06-15 10:57:15,2020-06-15 11:03:39,IP Address,68.47.234.88,100,383,True,2020-06-15 11:03:39,R_2Y689GP15fkfUIj,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Extremely well,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Maybe just some more actual activities that could be used in the classroom and teaching us how to implement them. ","To really listen to our students. Making sure to try harder to get to the root of a problem if a child is acting out in order to get them support that is needed rather than just discipline.  ","I think with teaching STEM this workshop made me realize that I can focus on social emotional needs due to not being tied down with content standards.  I will definitely be more mindful of the actions and behaviors of my students. ",none,"Distance learning topics for middle grades STEM students.  How to ensure students can complete activities if we were to do remote learning in the fall. ",no,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,7,8,,,,,,
2020-06-15 12:33:51,2020-06-15 12:53:01,IP Address,68.53.42.231,100,1149,True,2020-06-15 12:53:01,R_1OVKVdiqhsymkkl,,,,,35.8437042236328125,-86.38809967041015625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,"Workshop had great information, but in order to answer the question, I would say possibly sharing more hands on Trauma Informed practices or specific research based programs that have been found to be effective.","It is crucial to create predictable routines, build strong relationships and empower with student agency.  I also like breathing and mindfulness strategies. ","I will use more mindfulness strategies.  I will share the information with teachers, so that they can use in their classes.  ","Even though all schools have different needs, are there any specific SEL programs that you would recommend using after schools reopen?",More on supporting Tier 2 and Tier 3 students and Virtual school counseling and Guidance teaching,More on Specific strategies and programs for Trauma informed schools and Virtual School Counseling,,,,,,Other,Counselor,PreK/K,1,2,3,4,5,,,,,,,,,
2020-06-16 08:56:32,2020-06-16 08:59:56,IP Address,23.117.25.153,100,204,True,2020-06-16 08:59:56,R_2QYiL4tiUIkNV6v,,,,,36.105194091796875,-86.6591033935546875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"I learned that Covid, itself, may not have traumatized the student, but it definitely could add to already present traume.","I will ask the question in my mind, ""What has happened?"" instead of ""What is wrong with this student.""",none,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,,,,
2020-06-16 10:54:14,2020-06-16 10:55:45,IP Address,99.160.142.13,100,91,True,2020-06-16 10:55:46,R_10TNeqpu65Aj9cQ,,,,,35.97869873046875,-86.91339874267578125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Fairly well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NONE,"Small groups ",,,N/A,N/A,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,,10,11,12,,
2020-06-16 11:56:57,2020-06-16 12:06:35,IP Address,184.60.143.200,100,577,True,2020-06-16 12:06:35,R_3nP0txEPpS21U41,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Satisfied,Some of the information,Extremely well,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,"More time.  We ran out of time.  Perhaps more resources to explore. ","Many ELL students cannot express what they want to say and many times, just wont.","By seeking alternative ways for students to express their understanding of learning, with a focus on ELL students.  Not just ways to present knowledge at the end of study but during the study. ","How to communicate better with ELL students when no one else speaks their language. ","Related Arts classes (have each class a limited amount of time each school year)- How to make a better connection with your students. ",Thank you for the time and effort it took to put this together. Thank you,"Teacher who teaches science, mathematics, or STEM related content",,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,Other,Computer TECHnology,PreK/K,1,2,3,4,5,,,,,,,,,
2020-06-16 15:09:58,2020-06-16 15:10:56,IP Address,75.46.246.156,100,57,True,2020-06-16 15:10:56,R_2Su8uD7fUN8zU1r,,,,,35.7162933349609375,-86.9093017578125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,Some of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,4,,,,,,,,,,
2020-06-16 15:17:42,2020-06-16 15:18:28,IP Address,75.46.246.156,100,45,True,2020-06-16 15:18:28,R_2w5p1RlABc9YVtz,,,,,35.7162933349609375,-86.9093017578125,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Satisfied,Some of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,4,,,,,,,,,,
2020-06-16 15:25:34,2020-06-16 15:27:20,IP Address,96.4.42.130,100,105,True,2020-06-16 15:27:21,R_3Gpqlsj4kIwwWw3,,,,,35.6172943115234375,-87.03170013427734375,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Satisfied,None of the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,School-based administrator,,,,,,,,,5,6,7,8,,,,,,
2020-06-16 15:34:22,2020-06-16 15:35:12,IP Address,96.4.42.130,100,49,True,2020-06-16 15:35:12,R_1hETHenpK6iM2MT,,,,,35.6172943115234375,-87.03170013427734375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Fairly well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,School-based administrator,,,,,,,,,5,6,7,8,,,,,,
2020-06-16 15:21:28,2020-06-16 15:36:56,IP Address,107.77.234.168,100,928,True,2020-06-16 15:36:56,R_2DOEuZCdhN6KOD6,,,,,33.748504638671875,-84.3871002197265625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,"I did enjoy the breakout session portion, and liked coming up with ideas to include SEL into some of our standards. I would have enjoyed a little more time at the end to hear each group’s project.","I love the idea of having a attendance question, where the student can choose to answer the question or say pass, rather than just “here” or “present.”  This sounds like a good way to hear the voice of each child which may give me clues into how they are doing that day.","I plan to be intentional about checking in with every student every day, to make sure they are doing OK emotionally.","There are so many unknowns about what our school year will look like. I am curious how we will serve the SE needs of our kids if we end up in a fully remote-learning situation. ","I would like to continue learning about non-traditional teaching models. This could be powerful to use in a remote learning situation, or even in a traditional classroom to free me up to work with the kids more individually.","I enjoyed the workshop, thank you for providing such a timely and necessary information-filled workshop. What a world we are living in today!","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,5,,,,,,,,,
2020-06-16 17:10:47,2020-06-16 17:16:19,IP Address,71.128.161.0,100,331,True,2020-06-16 17:16:19,R_1JWaW15Y5n39XPx,,,,,35.8450927734375,-86.4900970458984375,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The videos were very helpful; ability to view the video, especially the last video longer would have been welcomed.","Importance of allowing students “think time” and to create a culture of appreciating how to figure out the answer versus finding the answer. ","The concept of figuring out versus finding out will change my practice. ","Inventing words; I am unclear regarding this concept. ",SEL,,,,,,"District, county, or state-based administrator",,,PreK/K,1,2,3,4,5,6,7,8,,,,,,
2020-06-16 17:16:42,2020-06-16 17:23:32,IP Address,69.180.243.75,100,409,True,2020-06-16 17:23:32,R_2TB36wqLWcZIIBg,,,,,36.07110595703125,-86.71959686279296875,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"It could have been a little longer to allow for the question and answer sessions without running over.  I was unable to stay afterwards because I had to get my son.  ",The videos watching students use various communication skills and their native language was very impactful as it gave me an opportunity to see what I should be looking for in my own students.,"I will be sure to build a stronger relationship with our EL teacher so I can make sure I am accessing every resource possible for my future EL students.  ","What do typical assessments look like in very diverse classes?  I have never had more than one or two EL student in a class, but would love to see how other teachers assess a multilingual group.","Anything related to differentiation in a virtual setting since it is likely we will be teaching online at some point next year.  ",I appreciate the opportunity to attend these workshops without having to pay for them!  Thank you!,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-16 17:23:48,2020-06-16 17:28:13,IP Address,69.180.243.75,100,264,True,2020-06-16 17:28:13,R_3oYmWZroaTv9tVk,,,,,36.07110595703125,-86.71959686279296875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,None- it was great!,I loved the opportunity to break out into small groups- I didn't even know that was possible in Zoom- and it was extremely helpful to hear about other educators' experiences so far during this and possible future school closures.,I will be sure to be more mindful of my students' mental state and non-academic needs prior to just jumping into my science content as usual.,How to support students if we have to switch back and forth between online and in-person classes?,Anything related to effectively teaching online,"I was so impressed with the presenters' knowledge on taking care of the whole-student, and it really put a lot of things into perspective coming from a social with an array of SE groups.  ","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-16 17:45:30,2020-06-16 17:46:30,IP Address,71.206.127.191,100,60,True,2020-06-16 17:46:31,R_3s6SgKN1USWdkve,,,,,36.2646026611328125,-86.70200347900390625,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"Collaborating with other EL educators ",,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-16 20:09:51,2020-06-16 20:17:05,IP Address,71.206.127.86,100,434,True,2020-06-16 20:17:05,R_3GvTpeSGqsTU8uv,,,,,36.2646026611328125,-86.70200347900390625,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Satisfied,All the information,Fairly poorly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I had a very difficult time responding on the Google documents.  I did not know how use them nor did anyone in my breakout group.  We shared verbally.  At the end, one person in my group figured out what to do.",Make sure tools to support multilingual students are not tools for students who need remedial help.,"I am going to make sure I give multilingual students the opportunity to ""show"" what they know. They know more than they can say.  I needed to be reminded of that.",How do I work around time constraints and mandates?,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-16 20:43:58,2020-06-16 20:45:29,IP Address,107.77.233.215,100,90,True,2020-06-16 20:45:30,R_3RyFV8REAjAuVQp,,,,,33.8018951416015625,-84.38610076904296875,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Satisfied,Some of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,,,PreK/K,1,2,3,4,,,,,,,,,,
2020-06-17 08:38:31,2020-06-17 08:44:31,IP Address,66.128.255.21,100,360,True,2020-06-17 08:44:31,R_3FKZ0Vqf1Ruvp6h,,,,,35.6360015869140625,-86.6840972900390625,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Somewhat satisfied,Some of the information,Fairly well,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,None at this time,I took away the idea that multilingual students know more about science even though they may not know the vocabulary and language to express their knowledge,"I am working on adding PBL's , phenomona, and more hands-on activities to engage those multilingual students and the other students in science.",None at this time,Nothing at this time,"No, thank you.","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,7,,,,,,,
2020-06-17 09:21:03,2020-06-17 09:30:45,IP Address,73.58.139.157,100,581,True,2020-06-17 09:30:45,R_3MGNL8s3VPcKBrH,,,,,36.096405029296875,-86.821197509765625,anonymous,EN,Other,I attended both.,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would extend the time by 30 minutes in each of the workshop days.,"Trauma can cause people to behave differently and must be acknowledged and dealt with. It is critical that we as educators attend to learning as not only cognitive in nature but also: behavioral, cultural, affective, political, historical, and ethical.",I will be setting aside planning and teaching time to address trauma. I will be setting aside planning a teaching time to better address the specific needs of the bilingual learners in my class.,Are there specific books and online resources you suggest for lesson planning taking trauma and bilingual learners?,Project planning and planning for supporting those experiencing trauma.,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-17 09:18:42,2020-06-17 09:45:51,IP Address,71.9.177.145,100,1628,True,2020-06-17 09:45:51,R_3UdP7mSVdZUzWZX,,,,,35.7162933349609375,-86.9093017578125,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Somewhat satisfied,Most of the information,Fairly poorly,Agree,Agree,Disagree,Agree,Agree,Agree,More strategies or solutions to reach bilingual students would have been helpful.  Then instead of awkward silent moments open discussion would have been helpful as well.,"Provide the time for bilingual learners to share in your classroom and value their combination of speech, gestures and diagrams to effectively communicate ideas.",I will communicate to parents how I value the effort their child is making to participate in the classroom.  Then I will communicate these efforts to our school's ESL teacher.,"How can I modify the work for bilingual learners?  When students are pulled from the room by their ESL teacher, how can I continually keep them informed on the lessons they have missed?  How can we motivate parents to ensure their students  attend school regularly, study, and complete their homework.?  Should all bilingual students have their grades modified?",Literacy,I enrolled in the other MIDTNSTEM workshop and have not received my PD's.  I filled out two surveys and several days have gone by.  If I have done something wrong I would hope someone would email me about this.,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-17 19:38:01,2020-06-17 19:46:43,IP Address,69.130.147.183,100,521,True,2020-06-17 19:46:43,R_1DqIkapwcb7zzNb,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Fairly well,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"There was just 1 incident, but it wasn't the presenter's fault. Her internet must not have been strong enough because the presenter(s) disappeared for the first 2 minutes of the 1st session. Then they came back and started their lesson. But it was very awkward to sit in a silent meeting because the teachers got kicked off of the meeting. HA","I was very much impacted by learning about the physical brain after trauma. ","I am a specials teacher so I won't be able to add morning meetings or anything, but I'd like to focus on the relationship building and peer feedback, open communication, modeled thinking and talking about how I feel about a particular topic of discussion. ",,Blending STEM into literacy,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,PreK/K,1,2,3,4,5,,,,,,,,,
2020-06-18 13:45:15,2020-06-18 13:50:53,IP Address,68.52.229.183,100,338,True,2020-06-18 13:50:54,R_21vUbYOCrUJKAty,,,,,36.0594940185546875,-86.65920257568359375,anonymous,EN,Valuing and Leveraging Emerging Bilingual Students’ Ways of Communicating About the Natural World,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"We always needed more time in our breakout groups, not only to complete the task but also to converse wit fellow educators.  sometimes within that time you can learn more than intended just by talking with a fellow teacher. ",The most impactful take away I had wass not to dumb down the content just because my student has limitiations on their understanding of the English language.,"I think I will be incorporating more voice and choice in my classroom, but also a higher level of respect for the bilingual student.",,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,8,,,,,,
2020-06-19 09:13:43,2020-06-19 09:18:18,IP Address,172.125.153.183,100,275,True,2020-06-19 09:18:18,R_2BkylKmjJOiCds9,,,,,34.83050537109375,-87.65599822998046875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Please add a little more about STEM practice.,Trauma affecting brain development.,Adapting teaching methods.,follow-up content?,How to adapt STEM content for online use.,Thank you!,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,11,12,,
2020-06-12 14:37:59,2020-06-12 14:38:32,IP Address,99.160.142.13,43,32,False,2020-06-19 14:38:49,R_248bzhajwX2s3AE,,,,,,,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Fairly well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24 10:35:25,2020-06-24 10:38:52,IP Address,172.76.151.98,100,206,True,2020-06-24 10:38:52,R_2Xj4utSfeaAUpVZ,,,,,35.9644927978515625,-85.05460357666015625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Most of the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Reminder we must teach with the whole child in mind.  They have suffered trauma.,Work in the trauma into my chemistry curriculum as a brain chemistry.,None,,Not at this time.,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,,,11,,,
